option,qualified_groups,M79_vs_1A,M85_vs_1B,M81_vs_1D,M74_vs_1E,M82_vs_1G,M77_vs_1I,M87_vs_1K,M80_vs_1L
1,EFGHIJKL,E,J,I,F,H,G,L,K
2,DFGHIJKL,H,G,I,D,J,F,L,K
3,DEGHIJKL,E,J,I,D,H,G,L,K
4,DEFHIJKL,E,J,I,D,H,F,L,K
5,DEFGIJKL,E,G,I,D,J,F,L,K
6,DEFGHJKL,E,G,J,D,H,F,L,K
7,DEFGHIKL,E,G,I,D,H,F,L,K
8,DEFGHIJL,E,G,J,D,H,F,L,I
9,DEFGHIJK,E,G,J,D,H,F,I,K
10,CFGHIJKL,H,G,I,C,J,F,L,K
11,CEGHIJKL,E,J,I,C,H,G,L,K
12,CEFHIJKL,E,J,I,C,H,F,L,K
13,CEFGIJKL,E,G,I,C,J,F,L,K
14,CEFGHJKL,E,G,J,C,H,F,L,K
15,CEFGHIKL,E,G,I,C,H,F,L,K
16,CEFGHIJL,E,G,J,C,H,F,L,I
17,CEFGHIJK,E,G,J,C,H,F,I,K
18,CDGHIJKL,H,G,I,C,J,D,L,K
19,CDFHIJKL,C,J,I,D,H,F,L,K
20,CDFGIJKL,C,G,I,D,J,F,L,K
21,CDFGHJKL,C,G,J,D,H,F,L,K
22,CDFGHIKL,C,G,I,D,H,F,L,K
23,CDFGHIJL,C,G,J,D,H,F,L,I
24,CDFGHIJK,C,G,J,D,H,F,I,K
25,CDEHIJKL,E,J,I,C,H,D,L,K
26,CDEGIJKL,E,G,I,C,J,D,L,K
27,CDEGHJKL,E,G,J,C,H,D,L,K
28,CDEGHIKL,E,G,I,C,H,D,L,K
29,CDEGHIJL,E,G,J,C,H,D,L,I
30,CDEGHIJK,E,G,J,C,H,D,I,K
31,CDEFIJKL,C,J,E,D,I,F,L,K
32,CDEFHJKL,C,J,E,D,H,F,L,K
33,CDEFHIKL,C,E,I,D,H,F,L,K
34,CDEFHIJL,C,J,E,D,H,F,L,I
35,CDEFHIJK,C,J,E,D,H,F,I,K
36,CDEFGJKL,C,G,E,D,J,F,L,K
37,CDEFGIKL,C,G,E,D,I,F,L,K
38,CDEFGIJL,C,G,E,D,J,F,L,I
39,CDEFGIJK,C,G,E,D,J,F,I,K
40,CDEFGHKL,C,G,E,D,H,F,L,K
41,CDEFGHJL,C,G,J,D,H,F,L,E
42,CDEFGHJK,C,G,J,D,H,F,E,K
43,CDEFGHIL,C,G,E,D,H,F,L,I
44,CDEFGHIK,C,G,E,D,H,F,I,K
45,CDEFGHIJ,C,G,J,D,H,F,E,I
46,BFGHIJKL,H,J,B,F,I,G,L,K
47,BEGHIJKL,E,J,I,B,H,G,L,K
48,BEFHIJKL,E,J,B,F,I,H,L,K
49,BEFGIJKL,E,J,B,F,I,G,L,K
50,BEFGHJKL,E,J,B,F,H,G,L,K
51,BEFGHIKL,E,G,B,F,I,H,L,K
52,BEFGHIJL,E,J,B,F,H,G,L,I
53,BEFGHIJK,E,J,B,F,H,G,I,K
54,BDGHIJKL,H,J,B,D,I,G,L,K
55,BDFHIJKL,H,J,B,D,I,F,L,K
56,BDFGIJKL,I,G,B,D,J,F,L,K
57,BDFGHJKL,H,G,B,D,J,F,L,K
58,BDFGHIKL,H,G,B,D,I,F,L,K
59,BDFGHIJL,H,G,B,D,J,F,L,I
60,BDFGHIJK,H,G,B,D,J,F,I,K
61,BDEHIJKL,E,J,B,D,I,H,L,K
62,BDEGIJKL,E,J,B,D,I,G,L,K
63,BDEGHJKL,E,J,B,D,H,G,L,K
64,BDEGHIKL,E,G,B,D,I,H,L,K
65,BDEGHIJL,E,J,B,D,H,G,L,I
66,BDEGHIJK,E,J,B,D,H,G,I,K
67,BDEFIJKL,E,J,B,D,I,F,L,K
68,BDEFHJKL,E,J,B,D,H,F,L,K
69,BDEFHIKL,E,I,B,D,H,F,L,K
70,BDEFHIJL,E,J,B,D,H,F,L,I
71,BDEFHIJK,E,J,B,D,H,F,I,K
72,BDEFGJKL,E,G,B,D,J,F,L,K
73,BDEFGIKL,E,G,B,D,I,F,L,K
74,BDEFGIJL,E,G,B,D,J,F,L,I
75,BDEFGIJK,E,G,B,D,J,F,I,K
76,BDEFGHKL,E,G,B,D,H,F,L,K
77,BDEFGHJL,H,G,B,D,J,F,L,E
78,BDEFGHJK,H,G,B,D,J,F,E,K
79,BDEFGHIL,E,G,B,D,H,F,L,I
80,BDEFGHIK,E,G,B,D,H,F,I,K
81,BDEFGHIJ,H,G,B,D,J,F,E,I
82,BCGHIJKL,H,J,B,C,I,G,L,K
83,BCFHIJKL,H,J,B,C,I,F,L,K
84,BCFGIJKL,I,G,B,C,J,F,L,K
85,BCFGHJKL,H,G,B,C,J,F,L,K
86,BCFGHIKL,H,G,B,C,I,F,L,K
87,BCFGHIJL,H,G,B,C,J,F,L,I
88,BCFGHIJK,H,G,B,C,J,F,I,K
89,BCEHIJKL,E,J,B,C,I,H,L,K
90,BCEGIJKL,E,J,B,C,I,G,L,K
91,BCEGHJKL,E,J,B,C,H,G,L,K
92,BCEGHIKL,E,G,B,C,I,H,L,K
93,BCEGHIJL,E,J,B,C,H,G,L,I
94,BCEGHIJK,E,J,B,C,H,G,I,K
95,BCEFIJKL,E,J,B,C,I,F,L,K
96,BCEFHJKL,E,J,B,C,H,F,L,K
97,BCEFHIKL,E,I,B,C,H,F,L,K
98,BCEFHIJL,E,J,B,C,H,F,L,I
99,BCEFHIJK,E,J,B,C,H,F,I,K
100,BCEFGJKL,E,G,B,C,J,F,L,K
101,BCEFGIKL,E,G,B,C,I,F,L,K
102,BCEFGIJL,E,G,B,C,J,F,L,I
103,BCEFGIJK,E,G,B,C,J,F,I,K
104,BCEFGHKL,E,G,B,C,H,F,L,K
105,BCEFGHJL,H,G,B,C,J,F,L,E
106,BCEFGHJK,H,G,B,C,J,F,E,K
107,BCEFGHIL,E,G,B,C,H,F,L,I
108,BCEFGHIK,E,G,B,C,H,F,I,K
109,BCEFGHIJ,H,G,B,C,J,F,E,I
110,BCDHIJKL,H,J,B,C,I,D,L,K
111,BCDGIJKL,I,G,B,C,J,D,L,K
112,BCDGHJKL,H,G,B,C,J,D,L,K
113,BCDGHIKL,H,G,B,C,I,D,L,K
114,BCDGHIJL,H,G,B,C,J,D,L,I
115,BCDGHIJK,H,G,B,C,J,D,I,K
116,BCDFIJKL,C,J,B,D,I,F,L,K
117,BCDFHJKL,C,J,B,D,H,F,L,K
118,BCDFHIKL,C,I,B,D,H,F,L,K
119,BCDFHIJL,C,J,B,D,H,F,L,I
120,BCDFHIJK,C,J,B,D,H,F,I,K
121,BCDFGJKL,C,G,B,D,J,F,L,K
122,BCDFGIKL,C,G,B,D,I,F,L,K
123,BCDFGIJL,C,G,B,D,J,F,L,I
124,BCDFGIJK,C,G,B,D,J,F,I,K
125,BCDFGHKL,C,G,B,D,H,F,L,K
126,BCDFGHJL,C,G,B,D,H,F,L,J
127,BCDFGHJK,H,G,B,C,J,F,D,K
128,BCDFGHIL,C,G,B,D,H,F,L,I
129,BCDFGHIK,C,G,B,D,H,F,I,K
130,BCDFGHIJ,H,G,B,C,J,F,D,I
131,BCDEIJKL,E,J,B,C,I,D,L,K
132,BCDEHJKL,E,J,B,C,H,D,L,K
133,BCDEHIKL,E,I,B,C,H,D,L,K
134,BCDEHIJL,E,J,B,C,H,D,L,I
135,BCDEHIJK,E,J,B,C,H,D,I,K
136,BCDEGJKL,E,G,B,C,J,D,L,K
137,BCDEGIKL,E,G,B,C,I,D,L,K
138,BCDEGIJL,E,G,B,C,J,D,L,I
139,BCDEGIJK,E,G,B,C,J,D,I,K
140,BCDEGHKL,E,G,B,C,H,D,L,K
141,BCDEGHJL,H,G,B,C,J,D,L,E
142,BCDEGHJK,H,G,B,C,J,D,E,K
143,BCDEGHIL,E,G,B,C,H,D,L,I
144,BCDEGHIK,E,G,B,C,H,D,I,K
145,BCDEGHIJ,H,G,B,C,J,D,E,I
146,BCDEFJKL,C,J,B,D,E,F,L,K
147,BCDEFIKL,C,E,B,D,I,F,L,K
148,BCDEFIJL,C,J,B,D,E,F,L,I
149,BCDEFIJK,C,J,B,D,E,F,I,K
150,BCDEFHKL,C,E,B,D,H,F,L,K
151,BCDEFHJL,C,J,B,D,H,F,L,E
152,BCDEFHJK,C,J,B,D,H,F,E,K
153,BCDEFHIL,C,E,B,D,H,F,L,I
154,BCDEFHIK,C,E,B,D,H,F,I,K
155,BCDEFHIJ,C,J,B,D,H,F,E,I
156,BCDEFGKL,C,G,B,D,E,F,L,K
157,BCDEFGJL,C,G,B,D,J,F,L,E
158,BCDEFGJK,C,G,B,D,J,F,E,K
159,BCDEFGIL,C,G,B,D,E,F,L,I
160,BCDEFGIK,C,G,B,D,E,F,I,K
161,BCDEFGIJ,C,G,B,D,J,F,E,I
162,BCDEFGHL,C,G,B,D,H,F,L,E
163,BCDEFGHK,C,G,B,D,H,F,E,K
164,BCDEFGHJ,H,G,B,C,J,F,D,E
165,BCDEFGHI,C,G,B,D,H,F,E,I
166,AFGHIJKL,H,J,I,F,A,G,L,K
167,AEGHIJKL,E,J,I,A,H,G,L,K
168,AEFHIJKL,E,J,I,F,A,H,L,K
169,AEFGIJKL,E,J,I,F,A,G,L,K
170,AEFGHJKL,E,G,J,F,A,H,L,K
171,AEFGHIKL,E,G,I,F,A,H,L,K
172,AEFGHIJL,E,G,J,F,A,H,L,I
173,AEFGHIJK,E,G,J,F,A,H,I,K
174,ADGHIJKL,H,J,I,D,A,G,L,K
175,ADFHIJKL,H,J,I,D,A,F,L,K
176,ADFGIJKL,I,G,J,D,A,F,L,K
